Time,Dubai Crude,Exchange Rate,Dubai Crude,Diesel Importer Cost,Diesel ETS Charge,Diesel GST,Diesel Taxes and Levies,"Diesel Price Excl Tax, Levies and ETS",Diesel Retail Price,Diesel Importer Margin,Regular Petrol Importer Cost,Regular Petrol ETS Charge,Regular Petrol GST,Regular Petrol Taxes and Levies,"Petrol price Excl Tax, Levies and ETS",Regular Petrol Retail Price,Regular Petrol Importer Margin,,,,,,,,,
Week ending Friday,US$ per barrel,US$/NZ$,NZ$ per barrel,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,NZ Cents per Litre,,,,,,,,,
23 April 2004,32.10,0.633,50.74,43.4,,7.5,7.9,59.6,67.5,18.7,48.6,,12.7,54.7,59.8,114.5,13.9,,,,,,,,,
30 April 2004,32.65,0.626,52.16,45.8,,7.3,7.7,58.3,66.0,15.9,52.2,,12.6,54.5,58.5,113.0,11.8,,,,,,,,,
7 May 2004,33.38,0.630,52.94,47.8,,7.8,8.2,62.2,70.3,18.8,53.3,,13.0,55.0,62.3,117.3,13.8,,,,,,,,,
14 May 2004,34.41,0.609,56.55,48.1,,8.3,8.7,66.2,74.9,20.5,56.4,,13.5,55.5,66.4,121.9,14.2,,,,,,,,,
21 May 2004,35.77,0.602,59.40,46.5,,8.3,8.6,65.7,74.3,17.9,54.3,,13.5,55.4,65.9,121.3,12.6,,,,,,,,,
28 May 2004,35.03,0.618,56.68,45.7,,8.5,8.9,68.0,76.9,19.9,53.7,,13.8,55.7,68.2,123.9,11.8,,,,,,,,,
4 June 2004,35.22,0.628,56.13,44.3,,8.5,8.9,67.7,76.6,21.3,49.4,,13.7,55.7,67.9,123.6,13.6,,,,,,,,,
11 June 2004,33.52,0.629,53.30,44.5,,8.2,8.5,65.1,73.6,19.4,48.2,,13.4,55.4,65.2,120.6,11.5,,,,,,,,,
18 June 2004,33.31,0.627,53.12,44.5,,8.0,8.3,63.3,71.6,19.0,47.7,,13.2,55.1,63.5,118.6,14.1,,,,,,,,,
25 June 2004,33.66,0.630,53.45,43.2,,7.8,8.1,61.8,69.9,17.3,44.6,,13.0,55.0,61.9,116.9,13.7,,,,,,,,,
2 July 2004,32.19,0.637,50.51,45.8,,7.6,8.0,60.5,68.5,16.1,47.3,,12.7,54.7,59.8,114.5,12.2,,,,,,,,,
9 July 2004,34.41,0.652,52.78,45.8,,7.7,8.0,61.1,69.2,17.9,48.3,,12.5,54.5,58.4,112.9,13.8,,,,,,,,,
16 July 2004,34.44,0.656,52.52,47.7,,7.9,8.2,62.7,70.9,16.9,48.9,,12.7,54.6,59.3,113.9,12.0,,,,,,,,,
23 July 2004,34.72,0.650,53.44,51.0,,8.0,8.3,63.4,71.8,17.6,51.3,,12.9,54.8,60.9,115.8,12.7,,,,,,,,,
30 July 2004,35.24,0.632,55.75,51.5,,8.3,8.6,66.0,74.6,18.2,53.1,,13.1,55.1,63.0,118.0,14.0,,,,,,,,,
6 August 2004,37.04,0.642,57.74,51.0,,8.6,9.0,68.6,77.6,17.6,53.2,,13.4,55.4,65.2,120.6,14.0,,,,,,,,,
13 August 2004,38.19,0.654,58.39,52.0,,8.8,9.1,69.8,78.9,18.3,53.9,,13.5,55.5,66.4,121.9,13.3,,,,,,,,,
20 August 2004,39.81,0.666,59.77,52.0,,8.8,9.1,69.8,78.9,18.8,52.8,,13.5,55.5,66.4,121.9,13.2,,,,,,,,,
27 August 2004,39.60,0.656,60.34,50.9,,8.8,9.1,69.8,78.9,17.7,50.1,,13.5,55.5,66.4,121.9,12.5,,,,,,,,,
3 September 2004,36.46,0.652,55.91,52.9,,8.8,9.1,69.9,79.0,17.9,49.3,,13.5,55.5,66.3,121.8,13.5,,,,,,,,,
10 September 2004,34.96,0.650,53.79,53.3,,8.7,9.0,68.9,77.9,18.0,49.9,,13.3,55.3,64.6,119.9,14.6,,,,,,,,,
17 September 2004,34.57,0.659,52.45,54.7,,8.7,9.0,68.9,77.9,16.0,51.6,,13.3,55.3,64.6,119.9,15.3,,,,,,,,,
24 September 2004,35.28,0.663,53.21,55.1,,8.7,9.0,69.0,78.0,15.7,52.7,,13.3,55.3,64.7,120.0,14.8,,,,,,,,,
1 October 2004,37.26,0.671,55.57,53.5,,9.1,9.4,72.2,81.6,17.4,53.5,,13.4,55.4,65.5,120.9,13.8,,,,,,,,,
8 October 2004,37.80,0.673,56.14,57.3,,9.1,9.5,72.4,81.9,17.3,55.4,,13.4,55.4,65.5,120.9,12.8,,,,,,,,,
15 October 2004,37.72,0.680,55.47,56.8,,9.1,9.5,72.8,82.3,19.3,53.2,,13.6,55.6,66.8,122.3,13.3,,,,,,,,,
22 October 2004,37.54,0.688,54.58,55.9,,9.4,9.7,74.7,84.5,17.5,53.6,,13.9,55.9,69.2,125.0,13.8,,,,,,,,,
29 October 2004,37.38,0.692,54.03,52.9,,9.3,9.7,74.2,83.9,17.5,51.8,,13.7,55.7,67.7,123.3,14.4,,,,,,,,,
5 November 2004,36.66,0.688,53.31,53.3,,9.3,9.7,74.2,83.9,18.3,51.3,,13.5,55.5,66.4,121.9,12.8,,,,,,,,,
